regime,run,step,agent,n_known,gap_frac,rho_count,rho_bound,precision,recall,u_local
A6_obs005,9,2500,1,9486.0,0.002105,0.863626,-0.211006,0.461538,0.3,5.571429
A6_obs005,9,2500,2,9486.0,0.002105,0.866464,-0.210343,0.461538,0.3,5.571429
A6_obs005,9,2500,3,9486.0,0.002105,0.866464,-0.210343,0.461538,0.3,5.571429
A6_obs005,9,2500,4,9486.0,0.002105,0.737237,-0.223889,0.461538,0.3,5.571429
A6_obs005,9,2500,5,9486.0,0.002105,0.863626,-0.211006,0.461538,0.3,5.571429
A6_obs020,0,1000,0,6704.0,0.168375,0.936625,-0.681394,0.458716,0.03712,41.450704
A6_obs020,0,1000,1,6704.0,0.168375,0.95518,-0.683491,0.458716,0.03712,41.744681
A6_obs020,0,1000,2,6704.0,0.168375,0.955728,-0.683073,0.458716,0.03712,41.744681
A6_obs020,0,1000,3,6220.0,0.168375,0.708567,-0.58829,0.117021,0.016333,82.525822
A6_obs020,0,1000,4,6666.0,0.168375,0.847663,-0.619256,0.390625,0.03712,50.17284
A6_obs020,0,1000,5,6298.0,0.168375,0.737749,-0.657306,0.131737,0.016333,69.653266
A6_obs020,0,2500,0,7996.0,0.00025,0.511575,-0.396386,0.086957,1.0,5.883721
A6_obs020,0,2500,1,8000.0,0.00025,0.86642,-0.277556,0.25,1.0,2.545455
A6_obs020,0,2500,2,7684.0,0.00025,0.278857,-0.424175,0.014706,1.0,53.684211
A6_obs020,0,2500,3,7996.0,0.00025,0.511575,-0.396386,0.086957,1.0,5.883721
A6_obs020,0,2500,4,8000.0,0.00025,0.872261,-0.278988,0.25,1.0,2.0
